dictionary,hiragana,meaning,type,transitivity,negative,polite,conditional,volitional,te,past,negativePast,passive,causative,potential,imperative
慣れる,なれる,to get used to,ichidan,-,慣れない,慣れます,慣れれば,慣れよう,慣れて,慣れた,慣れなかった,慣れなれる,慣れさせる,慣れられる,慣れろ
ねじる,ねじる,"to twist, to wrench",ichidan,-,ねじない,ねじます,ねじれば,ねじよう,ねじて,ねじた,ねじなかった,ねじなれる,ねじさせる,ねじられる,ねじろ
寝る,ねる,"to sleep, to lie down",ichidan,-,寝ない,寝ます,寝れば,寝よう,寝て,寝た,寝なかった,寝なれる,寝させる,寝られる,寝ろ
逃げる,にげる,"to flee, to escape",ichidan,-,逃げない,逃げます,逃げれば,逃げよう,逃げて,逃げた,逃げなかった,逃げなれる,逃げさせる,逃げられる,逃げろ
煮る,にる,to boil,ichidan,-,煮ない,煮ます,煮れば,煮よう,煮て,煮た,煮なかった,煮なれる,煮させる,煮られる,煮ろ
似る,にる,"to resemble, to look like",ichidan,-,似ない,似ます,似れば,似よう,似て,似た,似なかった,似なれる,似させる,似られる,似ろ
延びる,のびる,to be postponed,ichidan,-,延びない,延びます,延びれば,延びよう,延びて,延びた,延びなかった,延びなれる,延びさせる,延びられる,延びろ
伸びる,のびる,"to extend, to lengthen",ichidan,-,伸びない,伸びます,伸びれば,伸びよう,伸びて,伸びた,伸びなかった,伸びなれる,伸びさせる,伸びられる,伸びろ
乗り換える,のりかえる,to change (trains),ichidan,-,乗り換えない,乗り換えます,乗り換えれば,乗り換えよう,乗り換えて,乗り換えた,乗り換えなかった,乗り換えなれる,乗り換えさせる,乗り換えられる,乗り換えろ
載せる,のせる,"to publish, to print",ichidan,-,載せない,載せます,載せれば,載せよう,載せて,載せた,載せなかった,載せなれる,載せさせる,載せられる,載せろ
濡れる,ぬれる,to get wet,ichidan,-,濡れない,濡れます,濡れれば,濡れよう,濡れて,濡れた,濡れなかった,濡れなれる,濡れさせる,濡れられる,濡れろ
怯える,おびえる,"to be frightened, to be sacred",ichidan,-,怯えない,怯えます,怯えれば,怯えよう,怯えて,怯えた,怯えなかった,怯えなれる,怯えさせる,怯えられる,怯えろ
覚える,おぼえる,"to memorize, to learn",ichidan,-,覚えない,覚えます,覚えれば,覚えよう,覚えて,覚えた,覚えなかった,覚えなれる,覚えさせる,覚えられる,覚えろ
落ちる,おちる,to fall,ichidan,-,落ちない,落ちます,落ちれば,落ちよう,落ちて,落ちた,落ちなかった,落ちなれる,落ちさせる,落ちられる,落ちろ
追いかける,おいかける,"to chase, to run after",ichidan,-,追いかけない,追いかけます,追いかければ,追いかけよう,追いかけて,追いかけた,追いかけなかった,追いかけなれる,追いかけさせる,追いかけられる,追いかけろ
起きる,おきる,"to get up, to wake up",ichidan,-,起きない,起きます,起きれば,起きよう,起きて,起きた,起きなかった,起きなれる,起きさせる,起きられる,起きろ
遅れる,おくれる,"to be late, to be behind",ichidan,-,遅れない,遅れます,遅れれば,遅れよう,遅れて,遅れた,遅れなかった,遅れなれる,遅れさせる,遅れられる,遅れろ
折れる,おれる,"to break, to bend",ichidan,-,折れない,折れます,折れれば,折れよう,折れて,折れた,折れなかった,折れなれる,折れさせる,折れられる,折れろ
降りる,おりる,"to descend, to get off",ichidan,-,降りない,降ります,降りれば,降りよう,降りて,降りた,降りなかった,降りなれる,降りさせる,降りられる,降りろ
下りる,おりる,to go down,ichidan,-,下りない,下ります,下りれば,下りよう,下りて,下りた,下りなかった,下りなれる,下りさせる,下りられる,下りろ
抑える,おさえる,to suppress,ichidan,-,抑えない,抑えます,抑えれば,抑えよう,抑えて,抑えた,抑えなかった,抑えなれる,抑えさせる,抑えられる,抑えろ
治める,おさめる,to govern,ichidan,-,治めない,治めます,治めれば,治めよう,治めて,治めた,治めなかった,治めなれる,治めさせる,治められる,治めろ
教える,おしえる,"to teach, to tell",ichidan,-,教えない,教えます,教えれば,教えよう,教えて,教えた,教えなかった,教えなれる,教えさせる,教えられる,教えろ
錆びる,さびる,to get rusty,ichidan,-,錆びない,錆びます,錆びれば,錆びよう,錆びて,錆びた,錆びなかった,錆びなれる,錆びさせる,錆びられる,錆びろ
下げる,さげる,"to lower, to hang",ichidan,-,下げない,下げます,下げれば,下げよう,下げて,下げた,下げなかった,下げなれる,下げさせる,下げられる,下げろ
栄える,さかえる,"to flourish, to prosper",ichidan,-,栄えない,栄えます,栄えれば,栄えよう,栄えて,栄えた,栄えなかった,栄えなれる,栄えさせる,栄えられる,栄えろ
裂ける,さける,"to tear, to split",ichidan,-,裂けない,裂けます,裂ければ,裂けよう,裂けて,裂けた,裂けなかった,裂けなれる,裂けさせる,裂けられる,裂けろ
避ける,さける,to avoid,ichidan,-,避けない,避けます,避ければ,避けよう,避けて,避けた,避けなかった,避けなれる,避けさせる,避けられる,避けろ
支える,ささえる,"to support, to prop up",ichidan,-,支えない,支えます,支えれば,支えよう,支えて,支えた,支えなかった,支えなれる,支えさせる,支えられる,支えろ
攻める,せめる,to attack,ichidan,-,攻めない,攻めます,攻めれば,攻めよう,攻めて,攻めた,攻めなかった,攻めなれる,攻めさせる,攻められる,攻めろ
責める,せめる,to blame,ichidan,-,責めない,責めます,責めれば,責めよう,責めて,責めた,責めなかった,責めなれる,責めさせる,責められる,責めろ
痺れる,しびれる,to become numb,ichidan,-,痺れない,痺れます,痺れれば,痺れよう,痺れて,痺れた,痺れなかった,痺れなれる,痺れさせる,痺れられる,痺れろ
仕入れる,しいれる,to stock,ichidan,-,仕入れない,仕入れます,仕入れれば,仕入れよう,仕入れて,仕入れた,仕入れなかった,仕入れなれる,仕入れさせる,仕入れられる,仕入れろ
閉める,しめる,to close,ichidan,-,閉めない,閉めます,閉めれば,閉めよう,閉めて,閉めた,閉めなかった,閉めなれる,閉めさせる,閉められる,閉めろ
締める,しめる,"to tie, to fasten",ichidan,-,締めない,締めます,締めれば,締めよう,締めて,締めた,締めなかった,締めなれる,締めさせる,締められる,締めろ
染みる,しみる,to penetrate,ichidan,-,染みない,染みます,染みれば,染みよう,染みて,染みた,染みなかった,染みなれる,染みさせる,染みられる,染みろ
信じる,しんじる,to believe,ichidan,-,信じない,信じます,信じれば,信じよう,信じて,信じた,信じなかった,信じなれる,信じさせる,信じられる,信じろ
調べる,しらべる,"to check, to investigate",ichidan,-,調べない,調べます,調べれば,調べよう,調べて,調べた,調べなかった,調べなれる,調べさせる,調べられる,調べろ
知らせる,しらせる,to inform,ichidan,-,知らせない,知らせます,知らせれば,知らせよう,知らせて,知らせた,知らせなかった,知らせなれる,知らせさせる,知らせられる,知らせろ
沈める,しずめる,to sink,ichidan,-,沈めない,沈めます,沈めれば,沈めよう,沈めて,沈めた,沈めなかった,沈めなれる,沈めさせる,沈められる,沈めろ
静める,しずめる,"to calm, to quiet",ichidan,-,静めない,静めます,静めれば,静めよう,静めて,静めた,静めなかった,静めなれる,静めさせる,静められる,静めろ
育てる,そだてる,"to bring up, to raise",ichidan,-,育てない,育てます,育てれば,育てよう,育てて,育てた,育てなかった,育てなれる,育てさせる,育てられる,育てろ
添える,そえる,"to attach, to garnish",ichidan,-,添えない,添えます,添えれば,添えよう,添えて,添えた,添えなかった,添えなれる,添えさせる,添えられる,添えろ
染める,そめる,"to dye, to color",ichidan,-,染めない,染めます,染めれば,染めよう,染めて,染めた,染めなかった,染めなれる,染めさせる,染められる,染めろ
背ける,そむける,to turn (one's face) away,ichidan,-,背けない,背けます,背ければ,背けよう,背けて,背けた,背けなかった,背けなれる,背けさせる,背けられる,背けろ
供える,そなえる,to offer (to a god),ichidan,-,供えない,供えます,供えれば,供えよう,供えて,供えた,供えなかった,供えなれる,供えさせる,供えられる,供えろ
備える,そなえる,"to prepare, to be furnished with",ichidan,-,備えない,備えます,備えれば,備えよう,備えて,備えた,備えなかった,備えなれる,備えさせる,備えられる,備えろ
過ぎる,すぎる,"to pass, to exceed",ichidan,-,過ぎない,過ぎます,過ぎれば,過ぎよう,過ぎて,過ぎた,過ぎなかった,過ぎなれる,過ぎさせる,過ぎられる,過ぎろ
優れる,すぐれる,to be excellent,ichidan,-,優れない,優れます,優れれば,優れよう,優れて,優れた,優れなかった,優れなれる,優れさせる,優れられる,優れろ
擦り切れる,すりきれる,to be worn out,ichidan,-,擦り切れない,擦り切れます,擦り切れれば,擦り切れよう,擦り切れて,擦り切れた,擦り切れなかった,擦り切れなれる,擦り切れさせる,擦り切れられる,擦り切れろ
進める,すすめる,to advance,ichidan,-,進めない,進めます,進めれば,進めよう,進めて,進めた,進めなかった,進めなれる,進めさせる,進められる,進めろ
勧める,すすめる,to recommend,ichidan,-,勧めない,勧めます,勧めれば,勧めよう,勧めて,勧めた,勧めなかった,勧めなれる,勧めさせる,勧められる,勧めろ
捨てる,すてる,"to throw away, to abadon",ichidan,-,捨てない,捨てます,捨てれば,捨てよう,捨てて,捨てた,捨てなかった,捨てなれる,捨てさせる,捨てられる,捨てろ
食べる,たべる,to eat,ichidan,-,食べない,食べます,食べれば,食べよう,食べて,食べた,食べなかった,食べなれる,食べさせる,食べられる,食べろ
耐える,たえる,"to bear, to endure",ichidan,-,耐えない,耐えます,耐えれば,耐えよう,耐えて,耐えた,耐えなかった,耐えなれる,耐えさせる,耐えられる,耐えろ
高める,たかめる,"to raise, to lift",ichidan,-,高めない,高めます,高めれば,高めよう,高めて,高めた,高めなかった,高めなれる,高めさせる,高められる,高めろ
蓄える,たくわえる,"to store, to save",ichidan,-,蓄えない,蓄えます,蓄えれば,蓄えよう,蓄えて,蓄えた,蓄えなかった,蓄えなれる,蓄えさせる,蓄えられる,蓄えろ
貯める,ためる,"to save, to accumulate",ichidan,-,貯めない,貯めます,貯めれば,貯めよう,貯めて,貯めた,貯めなかった,貯めなれる,貯めさせる,貯められる,貯めろ
倒れる,たおれる,"to fall down, to collapse",ichidan,-,倒れない,倒れます,倒れれば,倒れよう,倒れて,倒れた,倒れなかった,倒れなれる,倒れさせる,倒れられる,倒れろ
足りる,たりる,"to be enough, to suffice",ichidan,-,足りない,足ります,足りれば,足りよう,足りて,足りた,足りなかった,足りなれる,足りさせる,足りられる,足りろ
確かめる,たしかめる,to confirm,ichidan,-,確かめない,確かめます,確かめれば,確かめよう,確かめて,確かめた,確かめなかった,確かめなれる,確かめさせる,確かめられる,確かめろ
助ける,たすける,"to help, to save",ichidan,-,助けない,助けます,助ければ,助けよう,助けて,助けた,助けなかった,助けなれる,助けさせる,助けられる,助けろ
立てる,たてる,"to stand, to erect",ichidan,-,立てない,立てます,立てれば,立てよう,立てて,立てた,立てなかった,立てなれる,立てさせる,立てられる,立てろ
建てる,たてる,to build,ichidan,-,建てない,建てます,建てれば,建てよう,建てて,建てた,建てなかった,建てなれる,建てさせる,建てられる,建てろ
尋ねる,たずねる,to ask,ichidan,-,尋ねない,尋ねます,尋ねれば,尋ねよう,尋ねて,尋ねた,尋ねなかった,尋ねなれる,尋ねさせる,尋ねられる,尋ねろ
訪ねる,たずねる,to visit,ichidan,-,訪ねない,訪ねます,訪ねれば,訪ねよう,訪ねて,訪ねた,訪ねなかった,訪ねなれる,訪ねさせる,訪ねられる,訪ねろ
届ける,とどける,to deliver,ichidan,-,届けない,届けます,届ければ,届けよう,届けて,届けた,届けなかった,届けなれる,届けさせる,届けられる,届けろ
閉じる,とじる,"to shut, to close",ichidan,-,閉じない,閉じます,閉じれば,閉じよう,閉じて,閉じた,閉じなかった,閉じなれる,閉じさせる,閉じられる,閉じろ
溶ける,とける,"to melt, to dissolve",ichidan,-,溶けない,溶けます,溶ければ,溶けよう,溶けて,溶けた,溶けなかった,溶けなれる,溶けさせる,溶けられる,溶けろ
解ける,とける,"to be solved, to become untied",ichidan,-,解けない,解けます,解ければ,解けよう,解けて,解けた,解けなかった,解けなれる,解けさせる,解けられる,解けろ
止める,とめる,"to stop, to turn off",ichidan,-,止めない,止めます,止めれば,止めよう,止めて,止めた,止めなかった,止めなれる,止めさせる,止められる,止めろ
泊める,とめる,"to lodge, to give lodging",ichidan,-,泊めない,泊めます,泊めれば,泊めよう,泊めて,泊めた,泊めなかった,泊めなれる,泊めさせる,泊められる,泊めろ
留める,とめる,"to fasten, to detain",ichidan,-,留めない,留めます,留めれば,留めよう,留めて,留めた,留めなかった,留めなれる,留めさせる,留められる,留めろ
捕らえる,とらえる,"to catch, to capture",ichidan,-,捕らえない,捕らえます,捕らえれば,捕らえよう,捕らえて,捕らえた,捕らえなかった,捕らえなれる,捕らえさせる,捕らえられる,捕らえろ
取れる,とれる,"to come off, to be caugh",ichidan,-,取れない,取れます,取れれば,取れよう,取れて,取れた,取れなかった,取れなれる,取れさせる,取れられる,取れろ
取り入れる,とりいれる,to adopt,ichidan,-,取り入れない,取り入れます,取り入れれば,取り入れよう,取り入れて,取り入れた,取り入れなかった,取り入れなれる,取り入れさせる,取り入れられる,取り入れろ
取り替える,とりかえる,"to exchange, to renew",ichidan,-,取り替えない,取り替えます,取り替えれば,取り替えよう,取り替えて,取り替えた,取り替えなかった,取り替えなれる,取り替えさせる,取り替えられる,取り替えろ
整える,ととのえる,"to arrange, to put in order",ichidan,-,整えない,整えます,整えれば,整えよう,整えて,整えた,整えなかった,整えなれる,整えさせる,整えられる,整えろ
潰れる,つぶれる,to go bankrupt,ichidan,-,潰れない,潰れます,潰れれば,潰れよう,潰れて,潰れた,潰れなかった,潰れなれる,潰れさせる,潰れられる,潰れろ
通じる,つうじる,"to be laid, to be understood",ichidan,-,通じない,通じます,通じれば,通じよう,通じて,通じた,通じなかった,通じなれる,通じさせる,通じられる,通じろ
捕まえる,つかまえる,"to catch, to arrest",ichidan,-,捕まえない,捕まえます,捕まえれば,捕まえよう,捕まえて,捕まえた,捕まえなかった,捕まえなれる,捕まえさせる,捕まえられる,捕まえろ
疲れる,つかれる,to be tired,ichidan,-,疲れない,疲れます,疲れれば,疲れよう,疲れて,疲れた,疲れなかった,疲れなれる,疲れさせる,疲れられる,疲れろ
付ける,つける,"to attach, to install",ichidan,-,付けない,付けます,付ければ,付けよう,付けて,付けた,付けなかった,付けなれる,付けさせる,付けられる,付けろ
つける,つける,to turn on,ichidan,-,つけない,つけます,つければ,つけよう,つけて,つけた,つけなかった,つけなれる,つけさせる,つけられる,つけろ
伝える,つたえる,"to report, to tell",ichidan,-,伝えない,伝えます,伝えれば,伝えよう,伝えて,伝えた,伝えなかった,伝えなれる,伝えさせる,伝えられる,伝えろ
勤める,つとめる,"to work for, to be employed",ichidan,-,勤めない,勤めます,勤めれば,勤めよう,勤めて,勤めた,勤めなかった,勤めなれる,勤めさせる,勤められる,勤めろ
努める,つとめる,to make efforts,ichidan,-,努めない,努めます,努めれば,努めよう,努めて,努めた,努めなかった,努めなれる,努めさせる,努められる,努めろ
続ける,つずける,"to continue, to proceed",ichidan,-,続けない,続けます,続ければ,続けよう,続けて,続けた,続けなかった,続けなれる,続けさせる,続けられる,続けろ
植える,うえる,to plant,ichidan,-,植えない,植えます,植えれば,植えよう,植えて,植えた,植えなかった,植えなれる,植えさせる,植えられる,植えろ
浮かべる,うかべる,"to float, to set afloat",ichidan,-,浮かべない,浮かべます,浮かべれば,浮かべよう,浮かべて,浮かべた,浮かべなかった,浮かべなれる,浮かべさせる,浮かべられる,浮かべろ
受け入れる,うけいれる,to accept,ichidan,-,受け入れない,受け入れます,受け入れれば,受け入れよう,受け入れて,受け入れた,受け入れなかった,受け入れなれる,受け入れさせる,受け入れられる,受け入れろ
受ける,うける,"to get, to receive",ichidan,-,受けない,受けます,受ければ,受けよう,受けて,受けた,受けなかった,受けなれる,受けさせる,受けられる,受けろ
受け付ける,うけつける,to accept,ichidan,-,受け付けない,受け付けます,受け付ければ,受け付けよう,受け付けて,受け付けた,受け付けなかった,受け付けなれる,受け付けさせる,受け付けられる,受け付けろ
生まれる,うまれる,to be born,ichidan,-,生まれない,生まれます,生まれれば,生まれよう,生まれて,生まれた,生まれなかった,生まれなれる,生まれさせる,生まれられる,生まれろ
売れる,うれる,to sell,ichidan,-,売れない,売れます,売れれば,売れよう,売れて,売れた,売れなかった,売れなれる,売れさせる,売れられる,売れろ
売り切れる,うりきれる,to be sold out,ichidan,-,売り切れない,売り切れます,売り切れれば,売り切れよう,売り切れて,売り切れた,売り切れなかった,売り切れなれる,売り切れさせる,売り切れられる,売り切れろ
訴える,うったえる,"to appeal, to complain",ichidan,-,訴えない,訴えます,訴えれば,訴えよう,訴えて,訴えた,訴えなかった,訴えなれる,訴えさせる,訴えられる,訴えろ
分かれる,わかれる,to be devided,ichidan,-,分かれない,分かれます,分かれれば,分かれよう,分かれて,分かれた,分かれなかった,分かれなれる,分かれさせる,分かれられる,分かれろ
別れる,わかれる,"to part from, to separate from",ichidan,-,別れない,別れます,別れれば,別れよう,別れて,別れた,別れなかった,別れなれる,別れさせる,別れられる,別れろ
分ける,わける,to divide,ichidan,-,分けない,分けます,分ければ,分けよう,分けて,分けた,分けなかった,分けなれる,分けさせる,分けられる,分けろ
割れる,われる,"to break, to split",ichidan,-,割れない,割れます,割れれば,割れよう,割れて,割れた,割れなかった,割れなれる,割れさせる,割れられる,割れろ
忘れる,わすれる,"to forget, to leave (a thing) behind",ichidan,-,忘れない,忘れます,忘れれば,忘れよう,忘れて,忘れた,忘れなかった,忘れなれる,忘れさせる,忘れられる,忘れろ
破れる,やぶれる,to tear,ichidan,-,破れない,破れます,破れれば,破れよう,破れて,破れた,破れなかった,破れなれる,破れさせる,破れられる,破れろ
敗れる,やぶれる,"to be defeated, to lose (a game)",ichidan,-,敗れない,敗れます,敗れれば,敗れよう,敗れて,敗れた,敗れなかった,敗れなれる,敗れさせる,敗れられる,敗れろ
焼ける,やける,"to be burnt, to lose",ichidan,-,焼けない,焼けます,焼ければ,焼けよう,焼けて,焼けた,焼けなかった,焼けなれる,焼けさせる,焼けられる,焼けろ
やめる,やめる,"to quit, to stop",ichidan,-,やめない,やめます,やめれば,やめよう,やめて,やめた,やめなかった,やめなれる,やめさせる,やめられる,やめろ
辞める,やめる,to resign,ichidan,-,辞めない,辞めます,辞めれば,辞めよう,辞めて,辞めた,辞めなかった,辞めなれる,辞めさせる,辞められる,辞めろ
痩せる,やせる,"to lose weight, to become thin",ichidan,-,痩せない,痩せます,痩せれば,痩せよう,痩せて,痩せた,痩せなかった,痩せなれる,痩せさせる,痩せられる,痩せろ
汚れる,よごれる,to get dirty,ichidan,-,汚れない,汚れます,汚れれば,汚れよう,汚れて,汚れた,汚れなかった,汚れなれる,汚れさせる,汚れられる,汚れろ
寄せる,よせる,to gather,ichidan,-,寄せない,寄せます,寄せれば,寄せよう,寄せて,寄せた,寄せなかった,寄せなれる,寄せさせる,寄せられる,寄せろ
茹でる,ゆでる,to boil,ichidan,-,茹でない,茹でます,茹でれば,茹でよう,茹でて,茹でた,茹でなかった,茹でなれる,茹でさせる,茹でられる,茹でろ
揺れる,ゆれる,to shake,ichidan,-,揺れない,揺れます,揺れれば,揺れよう,揺れて,揺れた,揺れなかった,揺れなれる,揺れさせる,揺れられる,揺れろ
緩める,ゆるめる,to loosen,ichidan,-,緩めない,緩めます,緩めれば,緩めよう,緩めて,緩めた,緩めなかった,緩めなれる,緩めさせる,緩められる,緩めろ
ずれる,ずれる,"to slip, to slide",ichidan,-,ずれない,ずれます,ずれれば,ずれよう,ずれて,ずれた,ずれなかった,ずれなれる,ずれさせる,ずれられる,ずれろ
来る,くる,to come,irregular,-,こない,きまる,くれば,こよう,来て,来た,こんなかった,こられる,こさせる,こられる,こい
持って来る,もってくる,to bring (a thing),irregular,-,持ってこない,持ってきまる,持ってくれば,持ってこよう,持って来て,持って来た,持ってこんなかった,持ってこられる,持ってこさせる,持ってこられる,持ってこい
連れてくる,つれてくる,to bring (a person),irregular,-,連れてこない,連れてきまる,連れてくれば,連れてこよう,連れて来て,連れて来た,連れてこんなかった,連れてこられる,連れてこさせる,連れてこられる,連れてこい
する,する,"to do, to play",irregular,-,しない,します,すれば,しよう,して,した,しなかった,される,させる,できる,しろ
アドバイスする,アドバイスする,to advise,irregular,-,アドバイスしない,アドバイスします,アドバイスすれば,アドバイスしよう,アドバイスして,アドバイスした,アドバイスしなかった,アドバイスされる,アドバイスさせる,アドバイスできる,アドバイスしろ
あいさつする,あいさつする,to greet,irregular,-,あいさつしない,あいさつします,あいさつすれば,あいさつしよう,あいさつして,あいさつした,あいさつしなかった,あいさつされる,あいさつさせる,あいさつできる,あいさつしろ
握手する,あくしゅする,to shake hands,irregular,-,握手しない,握手します,握手すれば,握手しよう,握手して,握手した,握手しなかった,握手される,握手させる,握手できる,握手しろ
悪用する,あくようする,"to misuse, to abuse",irregular,-,悪用しない,悪用します,悪用すれば,悪用しよう,悪用して,悪用した,悪用しなかった,悪用される,悪用させる,悪用できる,悪用しろ
アナウンサーする,アナウンサーする,to announce,irregular,-,アナウンサーしない,アナウンサーします,アナウンサーすれば,アナウンサーしよう,アナウンサーして,アナウンサーした,アナウンサーしなかった,アナウンサーされる,アナウンサーさせる,アナウンサーできる,アナウンサーしろ
暗記する,あんきする,"to memorize, to learn by heart",irregular,-,暗記しない,暗記します,暗記すれば,暗記しよう,暗記して,暗記した,暗記しなかった,暗記される,暗記させる,暗記できる,暗記しろ
案内する,あんないする,to guide,irregular,-,案内しない,案内します,案内すれば,案内しよう,案内して,案内した,案内しなかった,案内される,案内させる,案内できる,案内しろ
安心する,あんしんする,to feet at ease,irregular,-,安心しない,安心します,安心すれば,安心しよう,安心して,安心した,安心しなかった,安心される,安心させる,安心できる,安心しろ
安定する,あんていする,to become stable,irregular,-,安定しない,安定します,安定すれば,安定しよう,安定して,安定した,安定しなかった,安定される,安定させる,安定できる,安定しろ
アピールする,アピールする,to appeal,irregular,-,アピールしない,アピールします,アピールすれば,アピールしよう,アピールして,アピールした,アピールしなかった,アピールされる,アピールさせる,アピールできる,アピールしろ
アタックする,アタックする,to attack,irregular,-,アタックしない,アタックします,アタックすれば,アタックしよう,アタックして,アタックした,アタックしなかった,アタックされる,アタックさせる,アタックできる,アタックしろ
爆発する,ばくはつする,to explode,irregular,-,爆発しない,爆発します,爆発すれば,爆発しよう,爆発して,爆発した,爆発しなかった,爆発される,爆発させる,爆発できる,爆発しろ
弁護する,べんごする,to defend,irregular,-,弁護しない,弁護します,弁護すれば,弁護しよう,弁護して,弁護した,弁護しなかった,弁護される,弁護させる,弁護できる,弁護しろ
勉強する,べんきょうする,to study,irregular,-,勉強しない,勉強します,勉強すれば,勉強しよう,勉強して,勉強した,勉強しなかった,勉強される,勉強させる,勉強できる,勉強しろ
妨害する,ぼうがいする,"to interrupt, to obstruct",irregular,-,妨害しない,妨害します,妨害すれば,妨害しよう,妨害して,妨害した,妨害しなかった,妨害される,妨害させる,妨害できる,妨害しろ
防止する,ぼうしする,to prevent,irregular,-,防止しない,防止します,防止すれば,防止しよう,防止して,防止した,防止しなかった,防止される,防止させる,防止できる,防止しろ
募集する,ぼうしゅうする,to recruit,irregular,-,募集しない,募集します,募集すれば,募集しよう,募集して,募集した,募集しなかった,募集される,募集させる,募集できる,募集しろ
分析する,ぶんせきする,to analyze,irregular,-,分析しない,分析します,分析すれば,分析しよう,分析して,分析した,分析しなかった,分析される,分析させる,分析できる,分析しろ
チャレンジする,チャレンジする,to challenge,irregular,-,チャレンジしない,チャレンジします,チャレンジすれば,チャレンジしよう,チャレンジして,チャレンジした,チャレンジしなかった,チャレンジされる,チャレンジさせる,チャレンジできる,チャレンジしろ
チェンジする,チェンジする,to check,irregular,-,チェンジしない,チェンジします,チェンジすれば,チェンジしよう,チェンジして,チェンジした,チェンジしなかった,チェンジされる,チェンジさせる,チェンジできる,チェンジしろ
遅刻する,ちこくする,to be late (for school),irregular,-,遅刻しない,遅刻します,遅刻すれば,遅刻しよう,遅刻して,遅刻した,遅刻しなかった,遅刻される,遅刻させる,遅刻できる,遅刻しろ
陳列する,ちんれつする,to display,irregular,-,陳列しない,陳列します,陳列すれば,陳列しよう,陳列して,陳列した,陳列しなかった,陳列される,陳列させる,陳列できる,陳列しろ
貯金する,ちょきんする,"to depost, to save money",irregular,-,貯金しない,貯金します,貯金すれば,貯金しよう,貯金して,貯金した,貯金しなかった,貯金される,貯金させる,貯金できる,貯金しろ
調査する,ちょうさする,to investigate,irregular,-,調査しない,調査します,調査すれば,調査しよう,調査して,調査した,調査しなかった,調査される,調査させる,調査できる,調査しろ
注意する,ちゅういする,"to pay attention, to warn",irregular,-,注意しない,注意します,注意すれば,注意しよう,注意して,注意した,注意しなかった,注意される,注意させる,注意できる,注意しろ
忠告する,ちゅうこくする,to advise,irregular,-,忠告しない,忠告します,忠告すれば,忠告しよう,忠告して,忠告した,忠告しなかった,忠告される,忠告させる,忠告できる,忠告しろ
注文する,ちゅうもんする,to order (goods),irregular,-,注文しない,注文します,注文すれば,注文しよう,注文して,注文した,注文しなかった,注文される,注文させる,注文できる,注文しろ
中止する,ちゅうしする,to cancel,irregular,-,中止しない,中止します,中止すれば,中止しよう,中止して,中止した,中止しなかった,中止される,中止させる,中止できる,中止しろ
代表する,だいひょうする,to represent,irregular,-,代表しない,代表します,代表すれば,代表しよう,代表して,代表した,代表しなかった,代表される,代表させる,代表できる,代表しろ
妥協する,だきょうする,to compromise,irregular,-,妥協しない,妥協します,妥協すれば,妥協しよう,妥協して,妥協した,妥協しなかった,妥協される,妥協させる,妥協できる,妥協しろ
ダンスする,ダンスする,to dance,irregular,-,ダンスしない,ダンスします,ダンスすれば,ダンスしよう,ダンスして,ダンスした,ダンスしなかった,ダンスされる,ダンスさせる,ダンスできる,ダンスしろ
デビューする,デビューする,to make one's debut,irregular,-,デビューしない,デビューします,デビューすれば,デビューしよう,デビューして,デビューした,デビューしなかった,デビューされる,デビューさせる,デビューできる,デビューしろ
電話する,でんわする,"to call, to phone",irregular,-,電話しない,電話します,電話すれば,電話しよう,電話して,電話した,電話しなかった,電話される,電話させる,電話できる,電話しろ
デートする,デートする,to date,irregular,-,デートしない,デートします,デートすれば,デートしよう,デートして,デートした,デートしなかった,デートされる,デートさせる,デートできる,デートしろ
ディスプレーする,ディスプレーする,to display,irregular,-,ディスプレーしない,ディスプレーします,ディスプレーすれば,ディスプレーしよう,ディスプレーして,ディスプレーした,ディスプレーしなかった,ディスプレーされる,ディスプレーさせる,ディスプレーできる,ディスプレーしろ
同意する,どういする,to agree,irregular,-,同意しない,同意します,同意すれば,同意しよう,同意して,同意した,同意しなかった,同意される,同意させる,同意できる,同意しろ
独立する,どくりつする,to become independent,irregular,-,独立しない,独立します,独立すれば,独立しよう,独立して,独立した,独立しなかった,独立される,独立させる,独立できる,独立しろ
努力する,どりょくする,to make efforts,irregular,-,努力しない,努力します,努力すれば,努力しよう,努力して,努力した,努力しなかった,努力される,努力させる,努力できる,努力しろ
営業する,えいぎょうする,to do business,irregular,-,営業しない,営業します,営業すれば,営業しよう,営業して,営業した,営業しなかった,営業される,営業させる,営業できる,営業しろ
援助する,えんじょする,"to aid, to assist",irregular,-,援助しない,援助します,援助すれば,援助しよう,援助して,援助した,援助しなかった,援助される,援助させる,援助できる,援助しろ
エンジョイする,エンジョイする,to enjoy,irregular,-,エンジョイしない,エンジョイします,エンジョイすれば,エンジョイしよう,エンジョイして,エンジョイした,エンジョイしなかった,エンジョイされる,エンジョイさせる,エンジョイできる,エンジョイしろ
延期する,えんきする,to postpone,irregular,-,延期しない,延期します,延期すれば,延期しよう,延期して,延期した,延期しなかった,延期される,延期させる,延期できる,延期しろ
演説する,えんぜつする,to make a speech,irregular,-,演説しない,演説します,演説すれば,演説しよう,演説して,演説した,演説しなかった,演説される,演説させる,演説できる,演説しろ
エスケープする,エスケープする,to escape,irregular,-,エスケープしない,エスケープします,エスケープすれば,エスケープしよう,エスケープして,エスケープした,エスケープしなかった,エスケープされる,エスケープさせる,エスケープできる,エスケープしろ
